!Clamp R On && ! Active eCall On && !RST	!Clamp R включен && ! Active eCall включен && !RST
% Tastverhaeltnis	% Скважность
% Tastverhältnis	% Скважность
0x01 = EWS im ZSG ist freigegeben	0x01 = EWS в ZSG разблокирован
0x01 = Generierung EncCSMC_symm	0x01 = генерация EncCSMC_symm
0x01 = Keys ungültig, fehlerhafte Schlüsselgenerierung	0x01 = Ключи недействительны, ошибка генерации ключа
0x01 = MasterKey	0x01 = MasterKey
0x01 = SecLib_verifySignature	0x01 = SecLib_verifySignature
0x01 = Sequenz-Fehler (Kommunikation-Fehler)	0x01 = Ошибка последовательности (ошибка связи)
0x01 = Ungültiger Parameter cryptoDevice	0x01 = Недопустимый параметр cryptoDevice
0x01 = VK-SecretKey ist im CSE gespeichert	0x01 = VK-SecretKey сохранён в CSE
0x01 = VK-SecretKey ist im HSM gespeichert	0x01 = VK-SecretKey сохранён в HSM
0x01 = ZV entriegeln	0x01 = ЦЗ разблокировать
0x02 - AD Karte ist authentisiert	0x02 - Карта AD аутентифицирована
0x02 - Generierung EncCSMB_symm	0x02 - Генерация EncCSMB_symm
0x02 - Löschen des virtuellen Schlüssels fehlgeschlagen	0x02 - Удаление виртуального ключа не удалось
0x02 - SecLib_signData	0x02 - SecLib_signData
0x02 - Ungültiger Index eines BBE-Signaturschlüssels	0x02 - Недопустимый индекс ключа подписи BBE
0x02 - ZV sichern	0x02 - ЦЗ сохранить
0x02 - gültig	0x02 - действителен
0x02 - gültig (gespeichert im CSE)	0x02 - действителен (сохранён в CSE)
0x02 = AD Karte ist authentisiert	0x02 = Карта AD аутентифицирована
0x02 = Authentisierungs-Fehler	0x02 = Ошибка аутентификации
0x02 = EEPROM und Schlüsselgenerierung gesperrt	0x02 = EEPROM и генерация ключа заблокированы
0x02 = Generierung EncCSMB_symm	0x02 = Генерация EncCSMB_symm
0x02 = Ist komplett initialisiert	0x02 = Полностью инициализирован
0x02 = Ist komplett initialisiert  (im CSE und Flash-EEPROM)	0x02 = Полностью инициализирован (в CSE и Flash-EEPROM)
0x02 = Reserviert für KeyID = 0x02 (BOOT_MAC_KEY)	0x02 = Зарезервировано для KeyID = 0x02 (BOOT_MAC_KEY)
0x02 = Schlüssel generiert und bereit zum Auslesen	0x02 = Ключ сгенерирован и готов к считыванию
0x02 = SecLib_signData	0x02 = SecLib_signData
0x02 = Ungültiger Index eines BBE-Signaturschlüssels	0x02 = Недопустимый индекс ключа подписи BBE
0x02 = ZV sichern	0x02 = ЦЗ сохранить
0x03 - AD Karte ist gesperrt	0x03 - Карта AD заблокирована
0x03 - Generierung EncCSMA_symm	0x03 - Генерация EncCSMA_symm
0x03 - Löschen ECC Keys fehlgeschlagen	0x03 - Удаление ключей ECC не удалось
0x03 - SecLib_encryptData	0x03 - SecLib_encryptData
0x03 - Ungültiger externer ECC-Schlüssel	0x03 - Недопустимый внешний ключ ECC
0x03 - ZV verriegeln	0x03 - ЦЗ заблокировать
0x03 - keine Schluesselgenerierung / Auslesen möglich, EELock=1	0x03 - генерация / считывание ключа невозможны, EELock=1
0x03 = AD Karte ist gesperrt	0x03 = Карта AD заблокирована
0x03 = Generierung EncCSMA_symm	0x03 = Генерация EncCSMA_symm
0x03 = Request-Fehler	0x03 = Ошибка запроса
0x03 = Reserviert für KeyID = 0x03 (BOOT_MAC)	0x03 = Зарезервировано для KeyID = 0x03 (BOOT_MAC)
0x03 = SecLib_encryptData	0x03 = SecLib_encryptData
0x03 = Ungültiger VK-SecretKey im CSE	0x03 = Недопустимый VK-SecretKey в CSE
0x03 = Ungültiger VK-SecretKey im HSM	0x03 = Недопустимый VK-SecretKey в HSM
0x03 = Ungültiger externer ECC-Schlüssel	0x03 = Недопустимый внешний ключ ECC
0x03 = ZV verriegeln	0x03 = ЦЗ заблокировать
0x03 = kKeine Schlüsselgenerierung / Auslesen möglich - EELock=1	0x03 = генерация / считывание ключа невозможны - EELock=1
0x04 - AD Karte wird vom Administrator blockiert	0x04 - Карта AD заблокирована администратором
0x04 - Generierung EncCSMpriv & EncCSMpub	0x04 - Генерация EncCSMpriv & EncCSMpub
0x04 - Löschen CSE Keys fehlgeschlagen	0x04 - Удаление ключей CSE не удалось
0x04 - RFID TAG ist ungültig	0x04 - RFID-метка недействительна
