!Clamp R On && ! Active eCall On && !RST	!Clamp R On && ! Active eCall On && !RST
% Tastverhaeltnis	% duty cycle
% Tastverhältnis	% duty cycle
0: LED AUS  1: LED EIN	0: LED OFF  1: LED ON
0: LED Fahrlichtkontrolle ausgeschalten; 1: LED Fahrlichtkontrolle eingeschalten	0: LED driving-light control switched off; 1: LED driving-light control switched on
0: LWS nicht abgeglichen 1: LWS abgeglichen	0: steering angle sensor not calibrated 1: steering angle sensor calibrated
0: Lenkstock Blinker axialer Taster Bordcomputer nicht betätigt; 1: Lenkstock Blinker axialer Taster Bordcomputer betätigt	0: steering column indicator axial button trip computer not pressed; 1: steering column indicator axial button trip computer pressed
0: Lenkstock Blinker axialer Taster Fernlichtassistent nicht betätigt; 1: Lenkstock Blinker axialer Taster Fernlichtassistent betätigt	0: steering column indicator axial button high-beam assistant not pressed; 1: steering column indicator axial button high-beam assistant pressed
0: PIA: Abbiegelicht momentan nicht aktiv 1: PIA: Abbiegelicht momentan aktiv	0: PIA: cornering light currently not active 1: PIA: cornering light currently active
0: Rechtslenker  1: Linkslenker	0: right-hand drive  1: left-hand drive
0: Regensensor nicht vorhanden / codiert; 1: Regensensor vorhanden / codiert	0: rain sensor not present / coded; 1: rain sensor present / coded
0: Seitenrollo nicht vorhanden;  1: Seitenrollo vorhanden	0: side sunblind not present;  1: side sunblind present
0: Signal Getriebeöltemperatur iO	0: signal transmission oil temperature OK
0: Signalzustand Abtriebsdrehzahl iO; 1: Dynamischer Ersatzwert (Raddrehzahlen); 2: Statischer Ersatzwert	0: signal state output speed OK; 1: dynamic substitute value (wheel speeds); 2: static substitute value
0: Signalzustand Drosselklappe iO 2: Signalzustand Drosselklappe niO	0: signal state throttle valve OK 2: signal state throttle valve not OK
0: Signalzustand Eingangsdrehzahl iO; 2: Turbinendrehzahlsensor Kurzschluss gegen Batterie; 5: Turbinendrehzahlsensor Kurzschluss nach Masse / Unterbrechung	0: signal state input speed OK; 2: turbine speed sensor short circuit to battery; 5: turbine speed sensor short circuit to ground / open circuit
0: Signalzustand Motordrehzahl iO 2: Signalzustand Motordrehzahl niO	0: signal state engine speed OK 2: signal state engine speed not OK
0: Sitzheizung nicht vorhanden 1: Sitzheizung vorhanden	0: seat heating not present 1: seat heating present
0: Status LED Kindersicherung aus 1: Status LED Kindersicherung ein	0: status LED child lock off 1: status LED child lock on
0: Taster Nebelscheinwerfer nicht betätigt; 1: Taster Nebelscheinwerfer betätigt	0: fog light switch not pressed; 1: fog light switch pressed
0: Taster Nebelschlussleuchte nicht betätigt 1: Taster Nebelschlussleuchte betätigt	0: rear fog light switch not pressed 1: rear fog light switch pressed
0: Taster nicht betätigt  1: Taster betätigt	0: button not pressed  1: button pressed
0: Taster nicht betätigt 1: Taster betaetigt	0: button not pressed 1: button pressed
0: Taster nicht betätigt 1: Taster betätigt	0: button not pressed 1: button pressed
0: UGDO nicht vorhanden;  1: UGDO vorhanden	0: UGDO not present;  1: UGDO present
0: Zweite Sitzreihe nicht verriegelt; 1: Zweite Sitzreihe verriegelt	0: second seat row not locked; 1: second seat row locked
0: entschärft;	0: disarmed;
0: geschlossen  1: offen	0: closed  1: open
0: geschlossen oder halb offen 1: komplett offen	0: closed or half open 1: fully open
0: halb oder komplett offen  1: komplett geschlossen	0: half or fully open  1: fully closed
0: nicht aktiv 1: aktiv	0: not active 1: active
0: nicht eingelernt 1: eingelernt Info: Wird zu Beginn des Einlernvorgangs auf 0 gesetzt	0: not learned 1: learned Info: is set to 0 at the start of the learning process
0: unbekannt	0: unknown
0= Leselicht hinten nicht vorhanden, 1= Leselicht hinten vorhanden	0= reading light rear not present, 1= reading light rear present
0= Leselicht vorn nicht vorhanden, 1= Leselicht vorne vorhanden	0= reading light front not present, 1= reading light front present
0= Taster Hupe nicht betätigt  1= Taster Hupe betätigt	0= horn button not pressed  1= horn button pressed
0=Crash nicht erkannt, 1=Crash erkannt	0=crash not detected, 1=crash detected
0=Fondschichtungspotentiometer nicht vorhanden 1=Fondschichtungspotentiometer vorhanden	0=rear seat stratification potentiometer not present 1=rear seat stratification potentiometer present
0=Taste nicht betätigt, 1=Taste betätigt	0=button not pressed, 1=button pressed
0=nicht vorhanden 1=vorhanden	0=not present 1=present
0M64J (nicht-eindeutige Detektionsmethode)	0M64J (non-unique detection method)
0b1: Wenn das DAB-Audiosignal verfügbar ist 0B0: Wenn das DAB-Audiosignal nicht verfügbar ist	0b1: when the DAB audio signal is available 0B0: when the DAB audio signal is not available
0x00 - Alle Anforderungen zurücknehmen	0x00 - withdraw all requests
0x00 - Alle Daten sind gelöscht und Zugriff freigegeben	0x00 - all data deleted and access released
0x00 - Alle Schlüssel wurden fehlerfrei generiert	0x00 - all keys generated without error
0x00 - Kein Fehler	0x00 - no error
0x00 - Kein RFID TAG erkannt	0x00 - no RFID tag detected
0x00 - Keine AD-Karte Vorhanden	0x00 - no AD card present
0x00 - gelöscht	0x00 - deleted
0x00 = Alle Anforderungen zurücknehmen	0x00 = withdraw all requests
0x00 = Alle Schlüssel auslesen	0x00 = read out all keys
0x00 = Alle Schlüssel wurden fehlerfrei generiert	0x00 = all keys generated without error
0x00 = EWS im ZSG ist nicht freigegeben	0x00 = EWS in ZSG is not released
0x00 = Gelöscht, keine neuen Schlüssel generiert (seit PowerON)	0x00 = deleted, no new keys generated (since PowerON)
0x00 = Kein Fehler	0x00 = no error
0x00 = Kein RFID TAG erkannt	0x00 = no RFID tag detected
0x00 = Keine AD-Karte Vorhanden	0x00 = no AD card present
0x00 = VK ist gelöscht	0x00 = VK is deleted
0x00 Mittelstellung, 0x05 D, 0x06 N, 0x07 R	0x00 center position, 0x05 D, 0x06 N, 0x07 R
0x00: GB is OFF (PWR_EN2 = FALSE) 0x01: GB is ON (PWR_EN2 = TRUE)	0x00: GB is OFF (PWR_EN2 = FALSE) 0x01: GB is ON (PWR_EN2 = TRUE)
0x00: Gestikkamera nicht vorhanden 0x01: Gestikkamera vorhanden	0x00: gesture camera not present 0x01: gesture camera present
0x00: Kein SHD-Taster vorhanden 0x01: SHD-Taster vorhanden	0x00: no sunroof switch present 0x01: sunroof switch present
0x00: elektrischer Schiebehimmel nicht vorhanden 0x01: elektrischer Schiebehimmel vorhanden	0x00: electric sliding headliner not present 0x01: electric sliding headliner present
0x00: kein Fehler, 0x08 Hängenbleiber, 0x20  Minimal Threshold, 0x40 Maximal Threshold, 0x80 Temperatursprung	0x00: no fault, 0x08 sticking, 0x20  minimal threshold, 0x40 maximal threshold, 0x80 temperature jump
0x00: nicht aktiv 0x01: aktiv	0x00: not active 0x01: active
0x00: transparent 0x01: verdunkelt	0x00: transparent 0x01: darkened
0x01 - AD Karte ist unbekannt	0x01 - AD card is unknown
0x01 - Entsperrung EEPROM fehlgeschlagen	0x01 - unlocking EEPROM failed
0x01 - Generierung EncCSMC_symm	0x01 - generation EncCSMC_symm
0x01 - SecLib_verifySignature	0x01 - SecLib_verifySignature
0x01 - Ungültiger Parameter cryptoDevice	0x01 - invalid parameter cryptoDevice
0x01 - ZV entriegeln	0x01 - unlock central locking
0x01 - ungültig - Inkonsistenz zwischen pub / priv	0x01 - invalid - inconsistency between pub / priv
0x01 = AD Karte ist unbekannt	0x01 = AD card is unknown
0x01 = EEPROM und Schlüsselgenerierung nicht gesperrt	0x01 = EEPROM and key generation not locked
0x01 = EWS im ZSG ist freigegeben	0x01 = EWS in ZSG is released
0x01 = Generierung EncCSMC_symm	0x01 = generation EncCSMC_symm
0x01 = Keys ungültig, fehlerhafte Schlüsselgenerierung	0x01 = Keys invalid, faulty key generation
0x01 = MasterKey	0x01 = MasterKey
0x01 = SecLib_verifySignature	0x01 = SecLib_verifySignature
0x01 = Sequenz-Fehler (Kommunikation-Fehler)	0x01 = Sequence error (communication error)
0x01 = Ungültiger Parameter cryptoDevice	0x01 = Invalid parameter cryptoDevice
0x01 = VK-SecretKey ist im CSE gespeichert	0x01 = VK secret key is stored in the CSE
0x01 = VK-SecretKey ist im HSM gespeichert	0x01 = VK secret key is stored in the HSM
0x01 = ZV entriegeln	0x01 = Central locking unlock
0x02 - AD Karte ist authentisiert	0x02 - AD card is authenticated
0x02 - Generierung EncCSMB_symm	0x02 - Generation EncCSMB_symm
0x02 - Löschen des virtuellen Schlüssels fehlgeschlagen	0x02 - Deleting virtual key failed
0x02 - SecLib_signData	0x02 - SecLib_signData
0x02 - Ungültiger Index eines BBE-Signaturschlüssels	0x02 - Invalid index of a BBE signature key
0x02 - ZV sichern	0x02 - Central locking secure
0x02 - gültig	0x02 - valid
0x02 - gültig (gespeichert im CSE)	0x02 - valid (stored in the CSE)
0x02 = AD Karte ist authentisiert	0x02 = AD card is authenticated
0x02 = Authentisierungs-Fehler	0x02 = Authentication error
0x02 = EEPROM und Schlüsselgenerierung gesperrt	0x02 = EEPROM and key generation locked
0x02 = Generierung EncCSMB_symm	0x02 = Generation EncCSMB_symm
0x02 = Ist komplett initialisiert	0x02 = Is completely initialized
0x02 = Ist komplett initialisiert  (im CSE und Flash-EEPROM)	0x02 = Is completely initialized  (in the CSE and flash EEPROM)
0x02 = Reserviert für KeyID = 0x02 (BOOT_MAC_KEY)	0x02 = Reserved for KeyID = 0x02 (BOOT_MAC_KEY)
0x02 = Schlüssel generiert und bereit zum Auslesen	0x02 = Key generated and ready for readout
0x02 = SecLib_signData	0x02 = SecLib_signData
0x02 = Ungültiger Index eines BBE-Signaturschlüssels	0x02 = Invalid index of a BBE signature key
0x02 = ZV sichern	0x02 = Central locking secure
0x03 - AD Karte ist gesperrt	0x03 - AD card is locked
0x03 - Generierung EncCSMA_symm	0x03 - Generation EncCSMA_symm
0x03 - Löschen ECC Keys fehlgeschlagen	0x03 - Deleting ECC keys failed
0x03 - SecLib_encryptData	0x03 - SecLib_encryptData
0x03 - Ungültiger externer ECC-Schlüssel	0x03 - Invalid external ECC key
0x03 - ZV verriegeln	0x03 - Central locking lock
0x03 - keine Schluesselgenerierung / Auslesen möglich, EELock=1	0x03 - No key generation / readout possible, EELock=1
0x03 = AD Karte ist gesperrt	0x03 = AD card is locked
0x03 = Generierung EncCSMA_symm	0x03 = Generation EncCSMA_symm
0x03 = Request-Fehler	0x03 = Request error
0x03 = Reserviert für KeyID = 0x03 (BOOT_MAC)	0x03 = Reserved for KeyID = 0x03 (BOOT_MAC)
0x03 = SecLib_encryptData	0x03 = SecLib_encryptData
0x03 = Ungültiger VK-SecretKey im CSE	0x03 = Invalid VK secret key in the CSE
0x03 = Ungültiger VK-SecretKey im HSM	0x03 = Invalid VK secret key in the HSM
0x03 = Ungültiger externer ECC-Schlüssel	0x03 = Invalid external ECC key
0x03 = ZV verriegeln	0x03 = Central locking lock
0x03 = kKeine Schlüsselgenerierung / Auslesen möglich - EELock=1	0x03 = No key generation / readout possible - EELock=1
0x04 - AD Karte wird vom Administrator blockiert	0x04 - AD card is blocked by the administrator
0x04 - Generierung EncCSMpriv & EncCSMpub	0x04 - Generation EncCSMpriv & EncCSMpub
0x04 - Löschen CSE Keys fehlgeschlagen	0x04 - Deleting CSE keys failed
0x04 - RFID TAG ist ungültig	0x04 - RFID tag is invalid
0x04 - Schlüssel generiert nich lesbar	0x04 - Key generated, not readable
0x04 - SecLib_decryptData	0x04 - SecLib_decryptData
0x04 - Ungültige Signaturlänge	0x04 - Invalid signature length
0x04 = AD Karte wird vom Administrator blockiert	0x04 = AD card is blocked by the administrator
0x04 = AuthIMMOA - KeyID = 0x04 (KEY_1)	0x04 = AuthIMMOA - KeyID = 0x04 (KEY_1)
0x04 = Generierung EncCSMpriv & EncCSMpub	0x04 = Generation EncCSMpriv & EncCSMpub
0x04 = IDE ist ausgelesen	0x04 = IDE has been read out
0x04 = Schlüssel generiert aber nicht lesbar	0x04 = Key generated but not readable
0x04 = SecLib_decryptData	0x04 = SecLib_decryptData
0x04 = Ungültige Signaturlänge	0x04 = Invalid signature length
0x04 = ZV Frontklappe oeffnen	0x04 = Central locking open front lid
0x05 - Generierung SigCSMpriv & SigCSMpub	0x05 - Generation SigCSMpriv & SigCSMpub
0x05 - Löschen EEPROM symmetrischen Keys fehlgeschlagen	0x05 - Deleting EEPROM symmetric keys failed
0x05 - RFID TAG ist gültig	0x05 - RFID tag is valid
0x05 - SecLib_statussessionKey	0x05 - SecLib_statussessionKey
0x05 - Ungültige Datenlänge	0x05 - Invalid data length
0x05 = EncCSMA_symm - KeyID = 0x05 (KEY_2)	0x05 = EncCSMA_symm - KeyID = 0x05 (KEY_2)
0x05 = Generierung SigCSMpriv & SigCSMpub	0x05 = Generation SigCSMpriv & SigCSMpub
0x05 = RFID TAG ist authentisiert	0x05 = RFID tag is authenticated
0x05 = SecLib_statussessionKey	0x05 = SecLib_statussessionKey
0x05 = Ungültige Datenlänge	0x05 = Invalid data length
0x05 = ZV Heckklappe oeffnen	0x05 = Central locking open tailgate
0x06 - Fehlerhafte Parameter oder ungültige Signatur	0x06 - Faulty parameters or invalid signature
0x06 - RFID TAG ist falsch konfiguriert (Plain Modus)	0x06 - RFID tag is incorrectly configured (plain mode)
0x06 - SecLib_deleteKeys	0x06 - SecLib_deleteKeys
0x06 - Zu kleiner Output Buffer	0x06 - Output buffer too small
0x06 = EncCSMB_symm - KeyID = 0x06 (KEY_3)	0x06 = EncCSMB_symm - KeyID = 0x06 (KEY_3)
0x06 = RFID TAG ist falsch konfiguriert (Plain Modus)	0x06 = RFID tag is incorrectly configured (plain mode)
0x06 = SecLib_deleteKeys	0x06 = SecLib_deleteKeys
0x06 = ZV Heckscheibe oeffnen	0x06 = Central locking open rear window
0x06 = Zu kleiner Output Buffer	0x06 = Output buffer too small
0x07 - SecLib_WriteVirtKey	0x07 - SecLib_WriteVirtKey
0x07 - Ungültige cryptoVersion oder ungültige hash-Funktion	0x07 - Invalid cryptoVersion or invalid hash function
0x07 = Reserviert für CSE KeyID = 0x07 (KEY_4)	0x07 = Reserved for CSE KeyID = 0x07 (KEY_4)
